yiddish,transliteration
בליצבריוול,blitsbrivl
בליצפּאָסט,blitspost
בליצשלעסל,blitsshlesl
בלישטשען,blishtshen
בלעטל,bletl
בלעך,blekh
בלעכער,blekher
בלײַ,blay
בלײַבן,blaybn
בלײַען,blayen
בלײַער,blayer
במדבר,bamidber
במקום,bimkem
במשך,bemeshekh
בן־ישׂראל,ben-yisróel
בן־מלך,ben-meylekh
בן־נח,ben-noyekh
בנים,bonem
בנימין,binyomen
בעבל,bebl
בעזבושניצע,bezbushnitse
בעזבושניק,bezbushnik
בעזדיעלניק,bezdyelnik
בעזעם,bezem
בעט,bet
בעטן,betn
בעכער,bekher
בעל־הבית,balebos
בעל־הביתטע,baleboste
בעל־מלאָכה,balmelokhe
בעל־צדקה,baltsdoke
בעלאַרוס,belarus
בעלאָרוסיע,belorusye
בעלגיע,belgye
בעלז,belz
בענדיט,Bendit
בענדין,bendin
בענטשליכט,bentshlikht
בענטשן,bentshn
בענעט,benet
בענקל,benkl
בענקען,benken
בעסאַראַביע,besarabye
בעסאַראַביש,besarabish
בעסאַראַבער,besaraber
בעסט,best
בעסער,beser
בעפֿאָר,befor
בעצם,betsm
בעקישע,bekishe
בעקער,beker
בעקערײַ,bekeray
בעקעשע,bekeshe
בער,ber
בערגער,Berger
בערדיק,berdik
בעריאָזע,beryoze
בעריליום,berilyum
בערך,be'erekh
בערל,berl
בערלין,Berlin
בערעזע,bereze
בעת,beys
בפֿרט,befrat
בקיצור,"bekitser, bkitser"
בקשה,bakoshe
בר־מזל,bar mázl
בר־מינן,bármenen
בר־מיצווה,bar-mitsve
בראָד,brod
בראָדער,broder
בראַזיל,brazil
בראַטיסלאַוואַ,bratislava
בראַטיסלאַווע,bratislave
בראָטן,brotn
בראָך,brokh
בראָנדז,brondz
בראַנזשע,branzhe
בראָנפֿן,bronfn
בראָנקס,bronks
בראָנקסער,bronkser
בראָק,brok
בראשית,breyshes
ברוגז,broygez
ברוגזדיק,broygezdik
ברוגזלעך,broygezlekh
ברודער,bruder
ברודערשאַפֿט,brudershaft
ברויז,broyz
ברויט,broyt
ברויטניצע,broytnitse
ברוין,broyn
ברוך,Borekh
ברוך השם,borekh hashem
ברוך שפּטרני,borekh shepotrane
ברוך־הבא,borekhabe
ברוך־הבאָ,borekh-habo
ברונעט,brunet
ברונעם,brunem
ברוסט,brust
ברוסטקאַסטן,brustkastn
ברוקלין,bruklin
ברוקלינער,brukliner
בריאה,brie
ברידערשאַפֿט,bridershaft
בריוו,briv
ברייט,breyt
ברייטל,breytl
ברילן,briln
בריסל,Brisl
בריק,brik
בריקל,brikl
ברירה,breyre
ברירהדיק,breyredik
ברית,bris
ברכה,brokhe
ברעג,breg
ברעט,bret
ברעטל,bretl
ברעכן,brekhn
ברעם,brem
ברען,bren
ברענגען,brengen
ברענהאָלץ,brenholts
ברענען,brenen
ברעסלוי,bresloy
ברעסלע,bresle
ברײַ,bray
ברײַנע,brayne
ברײַען,brayen
בשׂמים,besomem
בשׂמימדיק,besomemdik
בשׂר ודם,bosr vedom
בשותּפֿותדיק,bshutfesdik
בשעת,bshas
בשתּיקה,beshtike
בת־מזל,bas mázl
בת־מלכּה,bas-malke
בת־קול,bas-kol
בתולה,bsule
בײַ,bay
בײַ צײַטנס,bay tsaytns
בײַטאָג,baytog
בײַטן,baytn
בײַטש,baytsh
בײַכל,baykhl
בײַם,baym
בײַנאַכט,baynakht
בײַסטרוק,baystruk
בײַסן,baysn
בײַסן זיך די צונג,baysn zikh di tsung
בײַקומען,baykumen
בײַשטײַערן,bayshtayern
בײַשפּיל,bayshpil
ג־ט,g-t
גאָב,gob
גאָון,goen
גאָט,got
גאָט אין הימל,got in himl
גאָט צו דאַנקן,got tsu dankn
גאָטעניו,gotenyu
גאָטפֿריד,gotfrid
גאַטקעס,gatkes
גאַל,gal
גאַלאָן,galon
גאָלד,gold
גאָלדבערג,goldberg
גאָלדן,goldn
גאָלדע,golde
גאָלדענע יויך,goldene yoykh
גאָלדפֿאַדן,goldfadn
גאָלדפֿאַדען,goldfaden
גאָלדשמיד,goldshmid
גאַליציאַנער,galitsyaner
גאַליציאַנערין,galitsyanerin
גאַליציע,Galitsie
גאָלמעסער,golmeser
גאָלמעסערל,golmeserl
גאָלן,goln
גאָלקרעם,golkrem
גאָמבע,gombe
גאָמלקע,gomlke
גאָנדאָלע,gondole
גאַנדז,gandz
גאַנז,ganz
גאַנץ,gants
גאַס,gas
גאַסט,gast
גאַסן־פֿרוי,gasn-froy
גאָפּל,gopl
גאָפּל־לעפֿל,gopl-lefl
גאַפֿן,gafn
גאָר,gor
גאַרב,garb
גאַרבן,garbn
גאַרבער,garber
גאַרבערײַ,garberay
גאָרגל,gorgl
גאָרטן,gortn
גאָרטשיצע,gortshitse
גאָרילע,gorile
גאָרנישט,gornisht
גאון,goen
גבֿורה,gvure
גבֿריאל,gavriyel
גבאי,gabe
גבאיטע,gabete
גבור,giber
גבוריש,giboyrish
גדלן,gadlen
גוואַלד,gvald
גוואַלט,gvalt
גוט,gut
גוט שבת!,gut shabes!
גוט־מאָרגן,gut-morgn
גוטמאַכונג,gutmakhung
גוטפֿרײַנד,gutfraynd
גוי,goy
גויה,goye
גוייש,goyish
גוייִש,goyish
גויע,goye
גולאַג,gulag
גולאַיען,gulayen
גולאַש,gulash
גולם,goylem
גומע,gume
גומען,gumen
גוף,guf
גופֿא,gufe
גורל,goyrl
גזלן,gazlen
גזלעווויע,gazlevoye
גזשיווע,gzhive
גזשיווקע,gzhivke
גזשענדע,gzhende
גטן,getn
גיבור,giber
גיהנום,genem
גיטאַר,gitar
גיטל,gitl
גיי,gey
גיי אין דר׳ערד,gey in dr'erd
גיי קאַקן אויפֿן ים,gey kakn oyfn yam
גיין,geyn
גייסט,gayst
גיך,gikh
גילבערט,gilbert
גילדן,gildn
גילדערן,gildern
גיליאָטין,gilyotin
גימל,giml
גימנאַזיע,gimnazye
גינסבערג,ginsberg
גיסן,gisn
גיפֿט,gift
גיפֿטיק,giftik
גירוש,girush
גיריק,girik
גלאָבאַליזאַציע,globalizatsye
גלאָבוס,globus
גלאָז,gloz
גלאַט,glat
גלאַט כּשר,glat kosher
גלאָק,glok
גלויבן,gloybn
גלוסט,glust
גלוסטן,glustn
גלות,goles
גלותדיק,golesdik
גלח,galekh
גליד,glid
גליטש,glitsh
גליטשיק,glitshik
גלייבן,gleybn
גלייכן,glaykhn
גליק,glik
גליקלעך,gliklekh
גלעזערנער בער,glezerner ber
גלײַך,glaykh
גלײַכונג,glaykhung
גלײַכן,glaykhn
גם־אתּם,gam-atem
גמרא טרודנע,gemore trudne
גן,gan
גן־עדן,gan eydn
גנב,ganef
גנבֿ,ganef
גנבֿה,gneyve
גנבֿטע,ganefte
גנבֿיש,ganéyvish
גנבֿען,ganven
גנבֿענען,ganvenen
גנבענען,ganvenen
גע־,ge-
גע־ ־ט,ge- -t
געאָגראַפֿיע,geografye
געאָגראַפֿיש,geografish
געאָלאָג,geolog
געאָלאָגיע,geologye
געאָלאָגיש,geologish
געאָמעטריע,geometrye
געאָמעטריש,geometrish
געבוירן,geboyrn
געבוירן־טאָג,geboyrn-tog
געבוירנטאָג,geboyrntog
געבורטסטאָג,geburtstog
געבורצטאָג,geburtstog
געבן,gebn
געבענטשט,gebentsht
געגנט,gegnt
געדאַנק,gedank
געדיכט,gedikht
געדענקען,gedenken
געדערעם,gederem
געהיים,geheym
געהערן,gehern
געוואַלד,gevald
געוואַלט,gevalt
געוואָר ווערן,gevor vern
געוואָרנט,gevornt
געווויר ווערן,gevoyr vern
געוויין,geveyn
געוויינטלעך,geveyntlekh
געוויינלעך,geveynlekh
געוויכט,gevikht
געווינס,gevins
געווינען,gevinen
געווירבל,gevirbl
געוועזן,gevezn
געווענליך,gevenlikh
געווער,gever
געזאַנג,gezang
געזונט,gezunt
געזונט ווי אַ פֿערד,gezunt vi a ferd
געזונטערהייט,gezunterheyt
געזיכט,gezikht
געזעל,gezel
געזעלשאַפֿט,gezelshaft
געזעץ,gezets
געטאָ,geto
געטע,gete
געטראַנק,getrank
געטרויען,getroyen
געטרײַ,getray
געי,gey
געך,gekh
געל,gel
געלב,gelb
געלט,gelt
געליבט,gelibt
געלינגען,gelingen
געלינקט,gelinkt
געלכל,gelkhl
גענאָו,genou
גענאָציד,genotsíd
גענדזל,gendzl
גענוג,genug
גענוג איז גענוג,genug iz genug
געניסן,genisn
געניץ,genits
געניצן,genitsn
גענעטיק,genetik
גענעטיש,genetish
גענעראַל,general
גענף,genf
געסל,gesl
געסקע,geske
געסרחה,gesrokhe
געפּאַנצערט,gepantsert
געפֿיל,gefil
געפֿילטע פֿיש,gefilte fish
געפֿינען,gefinen
געפֿעלן,gefeln
געפֿענגעניש,gefengenish
געפענגעניש,gefengenish
געפֿערלעך,geferlekh
געצעלט,getselt
גערויש,geroysh
גערטל,gertl
גערטנער,gertner
גערטנערײַ,gertneray
געריכט,gerikht
גערמאַניש,germanish
גערמאַנעץ,germanets
גערעכט,gerekht
גערשט,gersht
גערשטן,gershtn
געשאַנק,geshank
געשווינד,geshvind
געשוויר,geshvir
געשטאַלט,geshtalt
געשטעל,geshtel
געשיכטע,geshikhte
געשליפֿן,geshlifn
געשליפן,geshlifn
געשליפֿען,geshlifen
געשליפֿענע צונג,geshlifene tsung
געשליפֿענע צונג,geshlifene tsung
געשמאַק,geshmak
געשען,geshen
געשעעניש,gesheenish
געשעפֿט,gesheft
געשעפֿטסמאַן,gesheftsman
געשפּרעך,geshprekh
גראָ,gro
גראָבאײַזן,grobayzn
גראָבן,grobn
גראַגער,grager
גראָד,grod
גראָדנע,grodne
גראָז,groz
גראַם,gram
גראַמאַטיק,gramatik
גראַמאַטיש,gramatish
גראַמען,gramen
גראַניט,granit
גראַף,graf
גראַפֿיט,grafit
גראַפֿין,grafin
גראַפֿיניע,grafinye
גראָשן,groshn
גראָשנדיק,groshndik
גרוזיניש,gruzinish
גרוזינער,gruziner
גרוזיע,gruzye
גרוי,groy
גרויל,groyl
גרויס,groys
גרויס־בריטאַניע,groys-britanye
גרויסבריטאַניע,groysbritanye
גרויסקייט,groyskeyt
גרונט,grunt
גרוס,grus
גרופּע,grupe
גריבענעס,gribenes
גריווע,grive
גריווקע,grivke
גרייט,greyt
גרייכן,greykhn
גרייפּפֿרוט,greypfrut
גרייפּפֿרוכט,greypfrukht
גריך,grikh
גריכיש,grikhish
גריכנלאַנד,grikhnland
גרין,grin
גרינבוים,grinboym
גרינבערג,grinberg
גרינג,gring
גרינדן,grindn
גרינדער,grinder
גרינס,grins
גריף,grif
גרעבער,greber
גרעט,gret
גרענעץ,grenets
גרעסט,grest
גרעסער,greser
גרײַז,grayz
גר״א,"gr""o"
גשמיות,gashmies
גשמיותדיק,gashmiesdik
גױ,goy
גײַסט,gayst
גײַסטיק,gaystik
דא,do
דאָ,do
דאַוונען,davnen
דאַווענען,davenen
דאָזיק,dozik
דאַטע,date
דאַטשע,datshe
דאַך,dakh
דאָך,dokh
דאַכטן,dakhtn
דאָלאַר,dolar
דאָלוי,doloy
דאַמקע,damke
דאַנעט,danet
דאַנען,danen
דאָנערשטיק,donershtik
דאַנק,dank
דאַנקבאַר,dankbar
דאַנקבאַרקייט,dankbarkeyt
דאַנקטאָג,danktog
דאַנקען,dankn
דאָס,dos
דאַקאָטאַ,dakota
דאָקומענט,dokument
דאָקטאָר,doktor
דאָקטער,dokter
דאָקטערײַ,dokteray
דאַקס,daks
דאָרט,dort
דאָרטן,dortn
דאָרף,dorf
דאָרפֿיש,dorfish
דאָרפֿמאַן,dorfman
דאַרפֿן,darfn
דאָרשט,dorsht
דאָרשטיק,dorshtik
דו,du
דוא,du
דובֿ־בער,Dov-Ber
דוד,doved
דוד המלך,doved hamelekh
דוואָריאַנין,dvoryanin
דוואָרעץ,dvorets
דווקא,dafke
דומקאָפּ,dumkop
דונער,duner
דונערן,dunern
דור,dor
דוראַק,durak
דורך,durkh
דורך‎ (durkh) און‎ (un) דורך‎ (durkh),durkh un durkh
דורכן,durkhn
דורכרײַסן,durkhraysn
דוש,dush
דזשאַז,dzhaz
דזשאָרדזש,dzhordzh
דזשאָרדזשיע,dzhordzhye
דזשוכע,dzhukhe
דזשיראַף,dzhiraf
דזשעז,dzshez
דזשעיל,dzheyl
דיא,di
דיאַדעמע,dyademe
דיאַלעקט,dyalekt
דיאַלעקטאָלאָגיע,dyalektologye
דיאַלעקטיש,dyalektish
דיבוק,dibek
דיווידענד,dividend
דיין,dayen
דיך,dikh
דיכטונג,dikhtung
דיכטער,dikhter
דיכטעריש,dikhterish
דיל,dil
דימענט,diment
דין,din
דינאָזאַווער,dinozaver
דינאַמיש,dinamish
דינאַסטיע,dinastye
דיניע,dinye
דינסט,dinst
דינסטאָג,dinstog
דינסטיק,dinstik
דינסטמויד,dinstmoyd
דינען,dinen
דינקע,dinke
דיסטריקט,distrikt
דיסקאָטעק,diskotek
דיסקרימינאַציע,diskriminatsye
־דיק,-dik
דיק,dik
דיקדוק,dikdek
דיר,dir
דירה,dire
דירה־געלט,dire-gelt
דלאָניע,dlonye
דמשׂק,damasek
דעטרויט,detroyt
דעיס,deys
דעיע,deye
דעלאַווער,delaver
דעליקאַטעס,delikates
דעלפֿין,delfin
דעמאָגראַפֿיע,demografye
דעמאָלט,demolt
דעמאָלטס,demolts
דעמאָקראַטיש,demokratish
דעמאָקראַציע,demokratsye
דעמב,demb
דעניש,denish
דענמאַרק,denmark
דענקען,denken
דענקער,denker
דעצעמבער,detsember
דעקלאַראַציע,deklaratsye
דעקלינאַציע,deklinatsye
דער,der
דער עולם איז אַ גולם,der oylem iz a goylem
דער עיקר,der iker
דערוויסן,dervisn
דערוועגן,dervegn
דערווײַל,dervayl
דערויף,deroyf
דערונטער,derunter
דערטרינקען,dertrinken
דעריבער,deriber
דערין,derin
דערמאָנען,dermonen
דערמיט,dermit
דערנאָך,dernokh
דערנערונג,dernerung
דערעסן,deresn
דערפֿאָלג,derfolg
דערפֿאַר,derfar
דערפֿון,derfun
דערפון,derfun
דערפֿילן,derfiln
דערפֿל,derfl
דערצו,dertsu
דערציילן,dertseyln
דערקלערונג,derklerung
דערקלערן,derklern
דערשטיקן,dershtikn
דערשרעקן,dershrekn
דראַמאַטורג,dramaturg
דראַמאַטורגיע,dramaturgye
דראַמאַטיש,dramatish
דראַמע,drame
דראָנג,drong
דראַקאָן,drakon
דרום,dorem
דרום אַפֿריקע,dorem afrike
דרומדיק,doremdik
דרוקן,drukn
דרוקער,druker
דרוקערײַ,drukeray
דריט,drit
דריטל,dritl
דריטנס,dritns
דריי,drey
דריידל,dreydl
דרייסט,dreyst
דרייען,dreyen
דרינגען,dringen
דריקן,drikn
דרך־ארץ,derkherets
דרעק,drek
דרעק מיט פֿעפֿער,drek mit fefer
דרעשן,dreshn
דרײַ,dray
דרײַסיק,draysik
דרײַסיקסט,draysikst
דרײַסיקסטל,draysikstl
דרײַעק,drayek
דרײַעקיק,drayekik
דרײַצן,draytsn
דרײַצנט,draytsnt
דרײַצנטל,draytsntl
דרײַקאַנטיק,draykantik
דײַטש,daytsh
דײַטשיש,daytshish
דײַטשלאַנד,daytshland
דײַטשמעריזם,daytshmerizm
דײַטשמעריש,daytshmerish
דײַן,dayn
ד״ר,D'r
־ה,-e
האָב,hob
האַביכט,habikht
האָבן,hobn
האָבן צו זינגען און צו זאָגן,hobn tsu zingen un tsu zogn
האָבער,hober
האָבערין,hoberin
האָדיע,hodye
האַוואַיִ,havai
האַוון,havn
האָז,hoz
האָטעל,hotel
האַלב,halb
האַלדז,haldz
האַלדזן,haldzn
האַלטן,haltn
האָליוווּד,holivud
האָלעפּצעס,holeptses
האָלץ,holts
האָמאָסעקסואַלוטעט,homoseksualutet
האַמבורג,hamburg
האַמער,hamer
האָן,hon
האַנדלען,handlen
האַנדלער,handler
האַנט,hant
האַנטבוך,hantbukh
האַנטפֿלאַך,hantflakh
האָניק,honik
האָניקטייגל,honikteygl
האַס,has
האַסן,hasn
האָפֿלאָז,hofloz
האָפֿמאַן,hofman
האָפֿן,hofn
האָפֿנטלעך,hofntlekh
האָפֿענונג,hofenung
האַק,hak
האַקן,hakn
האַקן אַ טשײַניק,hakn a tshaynik
האַקפֿלייש,hakfleysh
האָר,hor
האָראָוויץ,horovits
האַרבסט,harbst
האַרבסטיק,harbstik
האַרוואַרד־אוניווערסיטעט,harvard-universitet
האַרמאַט,harmat
האָרן,horn
האָרע,hore
האַרף,harf
האַרפֿע,harfe
האַרץ,harts
האלאנד,holand
הארץ,harts
הבֿדלה,havdole
הבל,hevl
הגדה,hagode
הגם,hagam
הגר,hogor
הוט,hut
הויבן,hoybn
הויז,hoyz
הויזן,hoyzn
הויט,hoyt
הויך,hoykh
הויכדײַטש,hoykhdaytsh
הויפּט,hoypt
הויפּטל,hoyptl
הויפּטשטאָט,hoyptshtot
הויקער,hoyker
הולטאַי,hultay
הוליגאַן,huligan
הוליען,hulyen
הומאָר,humor
הומאָריסט,humorist
הון,hun
הונגער,hunger
הונגעריק,hungerik
הונדערט,hundert
הונדערטסט,hundertst
הונדערטסטל,hundertstl
הונט,hunt
הוצאה,hetsoe/hoytsoe
הור,hur
הורג,hoyreg
הורה,hore
היגע,hige
הידראָגען,hidrogen
היטל,hitl
היטלער,hitler
היי,hey
הייבמוטער,heybmuter
הייבן,heybn
הייוון,heyvn
הייזעריק,heyzerik
־הייט,-heyt
הייך,heykh
הייל,heyl
הייליק,heylik
היילן,heyln
היים,heym
היימאַרבעט,heymarbet
היימיש,heymish
היימלאַנד,heymland
היימשטאָט,heymshtot
הייס,heys
הייס־געליבט,heys-gelibt
הייסן,heysn
הייצן,heytsn
הייראַט,heyrat
היישעריק,heysherik
הילף,hilf
הילפֿסווערב,hilfsverb
הימל,himl
הימנע,himne
הינדל,hindl
הינטיש,hintish
הינטעלע,hintele
הינטער,hinter
הינטערגעסל,hintergesl
הינטערן,hintern
הינקען,hinken
היסטאָריע,historye
היסטאָריש,historish
היפּאָקריט,hipokrit
היץ,hitz
הירזש,hirzh
הירש,hirsh
הלוואַי,halevay
הלוואי,halevay
הלכה,halokhe
הלעיטני,haliteyni
המן,homen
המן־טאַש,homen-tash
המן־טאַשן,homen-tashn
העברעיִש,hebreish
העברעיש,hebreish
העכסט,hekhst
העכער,hekher
העלד,held
העלדזל,heldzl
העלדין,heldin
העלדיש,heldish
העליום,helyum
העלפֿאַנד,helfand
העלפֿאַנט,helfant
העלפֿט,helft
העלפֿן,helfn
העלפֿער,helfer
העלפֿערין,helferin
העמד,hemd
הענגען,hengen
הענדלער,hendler
הענטשקע,hentshke
העפֿט,heft
העפֿטיק,heftik
העפֿטן,heftn
העקל,hekl
הער,her
הערב,herb
הערינג,hering
הערן,hern
הערצאָג,hertsog
הערצעגאָווינע,hertsegovine
הערשאַפֿט,hershaft
הערשל,hershl
הערשן,hershn
הפֿטורה,haftoyre
הפֿטרה,haftore
הפֿקר,hefker
הצטרכות,hitstarkhus
הצלחה,hatslokhe
הצלחהדיק,hatslokhedik
הקדוש ברוך הוא,hakodesh borekh hu
הקדמה,hakdome
הרבֿ,horov
הרגענען,hargenen
הריגה,harige
השׂכּלה,haskole
השפּעה,hashpoe
הײַזל,hayzl
הײַזקע,hayzke
הײַנט,haynt
הײַנטיק,hayntik
הײַנטצוטאָג,haynttsutog
הײַנטצײַטיק,haynttsaytik
הײַסקול,hayskul
הײַפֿיש,hayfish
ה׳,h'
־ו,-u
וואָג,vog
וואַגאָן,vagon
וואַגינע,vagine
וואָגן,vogn
וואַזשנע,vazhne
וואַטשן,vatchn
וואָיעוואָדע,voyevode
וואַך,vakh
וואָך,vokh
וואַכן,vakhn
וואַכנאַכט,vakhnakht
וואָכנבלאַט,vokhnblat
וואָלגאָגראַד,volgograd
וואַלד,vald
וואָלט,volt
וואָלין,volin
וואָלן,voln
וואָלף,volf
וואַלפֿיש,valfish
וואָלקן,volkn
וואָלקעלאַק,volkelak
וואַמפּיר,vampir
וואַנדערן,vandern
וואַנט,vant
וואַנילע,vanile
וואַנע,vane
וואַנען,vanen
וואַנץ,vants
וואָנצעס,vontses
וואָס,vos
וואָס איז?,vos iz?
וואָס איז דאָס,vos iz dos
וואָס הערט זיך,vos hert zikh
וואָס מאַכט איר?,vos makht ir?
וואָס מאַכסטו?,vos makhstu?
וואַסער,vaser
וואָסער,voser
וואָסערע,vosere
וואַסערשטאָף,vasershtof
וואָפֿן,vofn
וואַקאַציע,vakatsye
וואַקוּום,vakuum
וואָקן,vokn
וואַקסן,vaksn
וואָר,vor
וואַרהײַט,varhayt
וואָרט,vort
וואָרטשפּיל,vortshpil
וואַרנישקעס,varnishkes
וואַרעם,varem
וואָרעם,vorem
וואַרעמען,váremen
וואַרעמקייט,varemkeyt
וואַרפֿן,varfn
וואָרצל,vortsl
וואַרשאַווסקי,varshavski
וואַרשע,varshe
וואַרשעווער,varshever
וואַשינגטאָן,vashington
וואַשן,vashn
וואַשצימער,vashtsimer
וואו,vu
וואוהין,vuhin
וואויל,voyl
וואוינען,voynen
וואס,vos
וואסער,vaser
וווּ,vu
וווּהין,vuhin
וווּנד,vund
וווּנדער,vunder
וווּרשט,vursht
וווּרשטל,vurshtl
ווויל,voyl
וווינונג,voynung
וווינען,voynen
וווינצימער,voyntsimer
ווי,vi
ווי אַ פֿיש אין וואַסער,vi a fish in vaser
ווי אַלט ביסטו?,vi alt bistu?
ווי אַלט זענט איר?,vi alt zent ir?
ווי באַלד,vi bald
ווי הייסט איר?,vi heyst ir?
ווי הייסטו?,vi heystu?
ווי פֿיל,vi fil
וויא,vi
וויאָלע,vyole
וויאָלעט,vyolet
וויאָסלע,vyosle
וויאָרסט,vyorst
וויבאַלד,vibald
וויג,vig
וויגל,vigl
וויגליד,viglid
וויגן,vign
וויגעלע,vigele
ווידער,vider
ווידערגוטמאַכונג,vidergutmakhung
וויזע,vize
וויטעבסק,vitebsk
וויי,vey
וויי איז מיר,vey iz mir
וויי איז צו מיר,vey iz tsu mir
וויידל,veydl
ווייך,veykh
וויילז,veylz
וויין,vayn
ווייניק,veynik
וויינען,veynen
ווייס,veys
ווייץ,veyts
ווייצן,veytsn
ווייקען,veyken
וויכטיק,vikhtik
ווילד,vild
וויליאַמסבורג,vilyamsburg
וויליִע,vilie
ווילנא,vilno
ווילנאַ,vilna
ווילנאָ,vilno
ווילנע,vilne
ווילנער,vilner
ווילנער גאון,vilner goen
ווין,vin
ווינד איז מיר,vind iz mir
ווינדל,vindl
ווינדע,vinde
ווינט,vint
ווינטיק,vintik
ווינטער,vinter
ווינטערצײַט,vintertsayt
ווינטשן,vintshn
ווינציק,vintsik
ווינקל,vinkl
וויסט,vist
וויסן,visn
וויסנשאַפֿט,visnshaft
וויסנשאַפֿטלעך,visnshaftlekh
וויסנשאַפֿטלער,visnshaftler
וויסקאָנסין,viskonsin
וויסקיי,viskey
וויִע,vie
וויעטנאַם,vyetnam
וויפֿיל,vifil
וויפֿל,vifl
וויפֿל איז דער זייגער,vifl iz der zeyger
וויץ,vits
וויקיווערטערבוך,vikiverterbukh
ווירדזשיניע,virdzhinye
ווירוס,virus
ווירקלעך,virklekh
ווירקלעכקייט,virklekhkeyt
ווישן,vishn
וועב,veb
וועבזײַטל,vebzaytl
וועבן,vebn
וועג,veg
וועגאַניזם,veganizm
וועגאַנער,veganer
וועגן,vegn
וועגעטאַריער,vegetaryer
וועגעטאַריש,vegetarish
וועווערקע,veverke
וועט,vet
וועט־זײַן,vet-zayt
וועטער,veter
וועטשערע,vetshere
וועל,vel
וועלאָסיפּעד,velosiped
וועלט,velt
וועלט־באַרימט,velt-barimt
וועלט־מלחמה,velt-milkhome
וועלטבאַרימט,veltbarimt
וועלטייל,velteyl
וועלטלעך,veltlekh
וועלטסווערטל,veltsvertl
וועלטסמענטש,veltsmentsh
וועליש,velish
וועלך,velkh
וועלן,veln
וועם,vem
וועמען,vemen
וועמענס,vemens
ווען,ven
ווענגער,venger
ווענדן,vendn
ווענוס,venus
ווענטקע,ventke
ווענעציע,venetsye
וועסט ווירדזשיניע,vest virdzhinye
וועסלע,vesle
ווער,ver
ווערב,verb
ווערבע,verbe
ווערד,verd
ווערט,vert
ווערטל,vertl
ווערטעלע,vertele
ווערטערבוך,verterbukh
ווערטערקלאַס,verterklas
ווערמאָנט,vermont
ווערן,vern
ווערן פֿינסטער אין די אויגן,vern finster in di oygn
ווערסט,verst
ווערק,verk
וועש,vesh
וועשער,vesher
וועשערין,vesherin
ווײַאָמינג,vayoming
ווײַב,vayb
ווײַבל,vaybl
ווײַבערניק,vaybernik
ווײַבערשול,vaybershul
ווײַזן,vayzn
ווײַט,vayt
ווײַטער,vayter
ווײַל,vayl
ווײַלע,vayle
ווײַן,vayn
ווײַנבערג,vaynberg
ווײַנגאָרטן,vayngortn
ווײַנטרויב,vayntroyb
ווײַנרײַך,vaynraykh
ווײַנשל,vaynshl
ווײַנשלבוים,vaynshlboym
ווײַס,vays
ווײַספֿיש,vaysfish
ווײַסרוסיש,vaysrusish
ווײַסרוסלאַנד,vaysrusland
וי,oy
ויקרא,vayikro
־ונג,-ung
וצדקתך,veytsidkoskhe
־ות,-es
זאָאָלאָגיע,zoologye
זאָאָלאָגיש,zoologish
זאָגן,zogn
זאָגער,zoger
זאָגערין,zogerin
זאָגערקע,zogerke
זאַווערוכע,zaverukhe
זאָטל,zotl
זאָטלען,zotlen
זאָטלער,zotler
זאַך,zakh
זאַלב,zalb
זאַלבן,zalbn
זאָלן,zoln
זאַלץ,zalts
זאַלציק,zaltsik
זאַמד,zamd
זאַמדיק,zamdik
זאַמלבוך,zamlbukh
זאַמלען,zamlen
זאַמלער,zamler
זאַמענהאָף,zamenhof
זאַנג,zang
זאָפֿאָרט,zofort
זאַפֿט,zaft
זאַפֿטיק,zaftik
זאַק,zak
זאָק,zok
זאָרג,zorg
זאָרגן,zorgn
זודיק,zudik
זוהר,zoyer
זויגלינג,zoygling
זויגן,zoygn
זויגער,zoyger
זוימען,zoymen
זויער,zoyer
זויערקרויט,zoyerkroyt
זויפֿן,zoyfn
זוכן,zukhn
זולו,zulu
זומער,zumer
זומער־פֿייגעלע,zumer-feygele
זומערצײַט,zumertsayt
זומערקורס,zumerkurs
זון,zun
זון־אונטערגאַנג,zun-untergang
זונאויפֿגאַנג,zunoyfgang
זונה,zoyne
זונטיק,zuntik
זוניק,zunik
זונפֿאַרגאַנג,zunfargang
זופּ,zup
זוקיני,zukini
זי,zi
זיא,zi
זיבן,zibn
זיבעט,zibet
זיבעטל,zibetl
זיבעטנס,zibetns
זיבעטצנט,zibettsnt
זיבעציק,zibetsik
זיבעציקסט,zibetsikst
זיבעציקסטל,zibetsikstl
זיבעצן,zibetsn
זיבעצנטל,zibetsntl
זיווג,ziveg
זיי,zey
זייא,zey
זייגן,zeygn
זייגער,zeyger
זייגעריק,zeygerik
זייגערל,zeygerl
זיידע,zeyde
זיידע־באָבע,zeyde-bobe
זיין,zayn
זייער,zeyer
זייף,zeyf
זיך,zikh
זיכער,zikher
זילבער,zilber
זילבערבערג,zilberberg
זילבערדיק,zilberdik
זילבערן,zilbern
זילבערשטיין,zilbershteyn
זימערמאַן,zimerman
זין,zin
זינגליד,zinglid
זינגען,zingen
זינגער,zinger
זינגערין,zingerin
זינגערקע,zingerke
זינגפֿויגל,zingfoygl
זינד,zind
זינדיק,zindik
זינט,zint
זיס,zis
זיסינקע,zisinke
זיסקײַט,ziskayt
זיצונג,zitsung
זיצטרין,zitstrin
זיצן,zitsn
זיצן אויף שפּילקעס,zitsn oyf shpilkes
זיצפֿלייש,zitsfleysh
זיקאָרן,zikorn
זכּרון,zikorn
זכר,zocher
זלאָטע,zlote
זלמן,zalmen
זמן,zman
זמר,zemer
